gov,match,xplore
Alexandra Park,,Aintree
Barrow,,Alexandria
Barton,,Anniesland
Birmingham Broad Street,,Ashton Under Lyne Old Street
Bognor,,Aston Newtown Shopping Centre
Bolton Blackhorse Street,,Atherton
Burton,,Barrow In Furness
Cardiff Alex House,,Barton On Humber
City Tower,,Batley
Harrow,,Birmingham Central
Lincoln,,Birmingham Summer Hill Road
Middlesbrough,,Blackpool North
Newcastle Cathedral Square,,Bognor Regis
Williamson Square,,Bolsover
,,Bolton
,,Bridgeton
,,Bristol Broadwalk Shopping Centre
,,Broxburn
,,Burton On Trent
,,Burton Upon Trent Union Street
,,Cardiff Alexandra House
,,Cardiff Queen Street
,,Chelmsley Wood Shopping Centre
,,Chesterfield Steeplegate
,,Chorlton
,,Clay Cross (D)
,,Colne
,,Coventry Tile Hill
,,Crawley Forest Gate
,,Dagenham
,,Dalston
,,Darwen
,,Derby Normanton Road
,,Derby Sir Frank Whittle Road
,,Dudley High Street
,,Dunstable
,,East Ham
,,Easterhouse
,,Easton
,,Edge Hill
,,Edgware
,,Edinburgh City
,,Eltham
,,Farnworth
,,Felling
,,Finchley
,,Harrow Kings House
,,Hereford Maylord Shopping Centre
,,Herne Bay
,,Highgate
,,Holywell
,,Hornchurch
,,Hoxton City Hub (City Tower)
,,Hoylake
,,Hull Market Place
,,Hulme
,,Ipswich Mygo
,,Kilburn
,,Langside
,,Leeds Eastgate
,,Lewisham
,,Leytonstone
,,Lincoln Orchard Street
,,Liverpool City
,,Longsight
,,Madeley
,,Maryhill
,,Middlesbrough James Cook House
,,Mountain Ash
,,Newcastle City
,,Newton Le Willows Market Street
,,Norris Green
,,Nottingham Station St
,,Parkhead
,,Petersfield
,,Plaistow
,,Pyle
,,Sheffield Eastern Ave
,,Shipley
,,Southall
,,Southend High Street
,,Stalybridge
,,Stoke Smithfield
,,Telford Wellington New Street
,,Tower Hamlets
,,Tredegar
,,Tunbridge Wells Northgate
,,Unknown
,,Wallasey
,,Walsall Crown Wharf
,,Waltham Forest Trinity Park
,,Walthamstow Forest Road
,,Wavertree
,,Wembley High Road
,,Westminster
,,Whitley Bay
,,Whitstable
,,Willesden
,,Wilmslow
,,Winton
,,York Stonebow
