gov,match,xplore,Name match?
Alexandra Park,,Aintree,
Barrow,Barrow In Furness,Alexandria,
Barton,Barton On Humber,Anniesland,
Birmingham Broad Street,,Ashton Under Lyne Old Street,
Bognor,Bognor Regis,Aston Newtown Shopping Centre,
Bolton Blackhorse Street,Bolton,Atherton,
Burton,Burton On Trent,,
Burton,Burton Upon Trent Union Street,,
Cardiff Alex House,Cardiff Alexandra House,,
City Tower,Tower Hamlets,Batley,
Harrow,Harrow Kings House,Birmingham Central,
Lincoln,Lincoln Orchard Street,Birmingham Summer Hill Road,
Middlesbrough,Middlesbrough James Cook House,Blackpool North,
Newcastle Cathedral Square,Newcastle City,,
Williamson Square,Liverpool City,Bolsover,
,,,
,,Bridgeton,
,,Bristol Broadwalk Shopping Centre,
,,Broxburn,
,,,
,,,
,,,
,,Cardiff Queen Street,
,,Chelmsley Wood Shopping Centre,
,,Chesterfield Steeplegate,
,,Chorlton,
,,Clay Cross (D),
,,Colne,
,,Coventry Tile Hill,
,,Crawley Forest Gate,
,,Dagenham,
,,Dalston,
,,Darwen,
,,Derby Normanton Road,
,,Derby Sir Frank Whittle Road,
,,Dudley High Street,
,,Dunstable,
,,East Ham,
,,Easterhouse,
,,Easton,
,,Edge Hill,
,,Edgware,
,,Edinburgh City,
,,Eltham,
,,Farnworth,
,,Felling,
,,Finchley,
,,,
,,Hereford Maylord Shopping Centre,
,,Herne Bay,
,,Highgate,
,,Holywell,
,,Hornchurch,
,,Hoxton City Hub (City Tower),
,,Hoylake,
,,Hull Market Place,
,,Hulme,
,,Ipswich Mygo,
,,Kilburn,
,,Langside,
,,Leeds Eastgate,
,,Lewisham,
,,Leytonstone,
,,,
,,,
,,Longsight,
,,Madeley,
,,Maryhill,
,,,
,,Mountain Ash,
,,,
,,Newton Le Willows Market Street,
,,Norris Green,
,,Nottingham Station St,
,,Parkhead,
,,Petersfield,
,,Plaistow,
,,Pyle,
,,Sheffield Eastern Ave,
,,Shipley,
,,Southall,
,,Southend High Street,
,,Stalybridge,
,,Stoke Smithfield,
,,Telford Wellington New Street,
,,,
,,Tredegar,
,,Tunbridge Wells Northgate,
,,Unknown,
,,Wallasey,
,,Walsall Crown Wharf,
,,Waltham Forest Trinity Park,
,,Walthamstow Forest Road,
,,Wavertree,
,,Wembley High Road,
,,Westminster,
,,Whitley Bay,
,,Whitstable,
,,Willesden,
,,Wilmslow,
,,Winton,
,,York Stonebow,
